Webindex,Title,Tokenized Title,Company,Tokenized Company,Description,Tokenized Description,Category
68997528,Finance / Accounts Asst Bromley to ****k,"['finance', 'accounts', 'asst', 'bromley', 'to', 'k']",First Recruitment Services,"['first', 'recruitment', 'services']","Accountant (partqualified) to **** p.a. South East London Our client, a successful manufacturing company has an immediate requirement for an Accountant for permanent role in their modern offices in South East London. The Role: Credit Control Purchase / Sales Ledger Daily collection of debts by phone, letter and email. Handling of ledger accounts Handling disputed accounts and negotiating payment terms Allocating of cash and reconciliation of accounts Adhoc administration duties within the business The Person The ideal candidate will have previous experience in a Credit Control capacity, you will possess exceptional customer service and communication skills together with IT proficiency. You will need to be a part or fully qualified Accountant to be considered for this role","['accountant', 'partqualified', 'south', 'east', 'london', 'client', 'successful', 'manufacturing', 'company', 'requirement', 'accountant', 'permanent', 'role', 'modern', 'offices', 'south', 'east', 'london', 'role', 'credit', 'control', 'purchase', 'sales', 'ledger', 'daily', 'collection', 'debts', 'phone', 'letter', 'email', 'handling', 'ledger', 'accounts', 'handling', 'accounts', 'negotiating', 'payment', 'terms', 'cash', 'reconciliation', 'accounts', 'adhoc', 'administration', 'duties', 'business', 'person', 'ideal', 'candidate', 'previous', 'experience', 'credit', 'control', 'capacity', 'possess', 'exceptional', 'customer', 'service', 'communication', 'skills', 'part', 'fully', 'qualified', 'accountant', 'considered', 'role']",Accounting_Finance
68063513,Fund Accountant  Hedge Fund,"['fund', 'accountant', 'hedge', 'fund']",Austin Andrew Ltd,"['austin', 'andrew', 'ltd']","One of the leading Hedge Funds in London is currently recruiting for a Fund Accountant to join their team. The role will be paying c**** with outstanding benefits. Based in the West End, the role will report to the Head of Fund Accounting and work with a number of Fund Accountants and Senior Fund Accountants. The successful candidate will be responsible for the fund accounting of a number of Hedge Funds mainly dealing in equities and equity related products. The role involves all aspects of fund accounting; preparation of journal voucher entries and NAV control. As part of the NAV review, the Fund Accountant also reviews cash and securities reconciliation, trade input, pricing fluctuations and financial statements.","['leading', 'hedge', 'funds', 'london', 'recruiting', 'fund', 'accountant', 'join', 'team', 'role', 'paying', 'outstanding', 'benefits', 'based', 'west', 'end', 'role', 'report', 'head', 'fund', 'accounting', 'work', 'number', 'fund', 'accountants', 'senior', 'fund', 'accountants', 'successful', 'candidate', 'responsible', 'fund', 'accounting', 'number', 'hedge', 'funds', 'dealing', 'equity', 'related', 'products', 'role', 'involves', 'aspects', 'fund', 'accounting', 'preparation', 'journal', 'voucher', 'entries', 'nav', 'control', 'part', 'nav', 'review', 'fund', 'accountant', 'reviews', 'cash', 'securities', 'reconciliation', 'trade', 'input', 'pricing', 'financial', 'statements']",Accounting_Finance
68700336,Deputy Home Manager,"['deputy', 'home', 'manager']",Caritas,['caritas'],"An exciting opportunity has arisen to join an establish provider of elderly care services. The role of Deputy Home Manager is to support the Home Manager in the day to day running of the home. You need to have a passion for working in the care sector and have proven experience in this role. Job Description: To assist the Registered Manager in the management of the home To take overall responsibility for the home in the absence of the Registered Manager Job Requirements: Ensure that high standards of care are delivered to meet the needs of the individual residents Ensure the healthcare needs of the residents are met by liaising with GP’s District Nurses, Chiropodists etc. Under the supervision of the Registered Manager  Lead, manage and develop the work of the staff team Assist the Registered Manager with the management of the Home Take responsibility for the running of the Home in the absence of the Registered Manager Necessary Skills/Qualifications: NVQ Level 3 in Care Experience of working in a residential home Experience working with older people Supervisory experience Flexible to work on a shift pattern This job was originally posted as www.totaljobs.com/JobSeeking/DeputyHomeManager_job****","['exciting', 'opportunity', 'arisen', 'join', 'establish', 'provider', 'elderly', 'care', 'services', 'role', 'deputy', 'home', 'manager', 'support', 'home', 'manager', 'day', 'day', 'running', 'home', 'passion', 'working', 'care', 'sector', 'proven', 'experience', 'role', 'job', 'description', 'assist', 'registered', 'manager', 'management', 'home', 'responsibility', 'home', 'absence', 'registered', 'manager', 'job', 'requirements', 'ensure', 'high', 'standards', 'care', 'delivered', 'meet', 'individual', 'residents', 'ensure', 'healthcare', 'residents', 'met', 'liaising', 'gp', 'district', 'nurses', 'supervision', 'registered', 'manager', 'lead', 'manage', 'develop', 'work', 'staff', 'team', 'assist', 'registered', 'manager', 'management', 'home', 'responsibility', 'running', 'home', 'absence', 'registered', 'manager', 'skills', 'qualifications', 'nvq', 'level', 'care', 'experience', 'working', 'residential', 'home', 'experience', 'working', 'older', 'people', 'supervisory', 'experience', 'flexible', 'work', 'shift', 'pattern', 'job', 'originally', 'posted', 'www', 'totaljobs', 'jobseeking', 'job']",Healthcare_Nursing
67996688,Brokers Wanted Imediate Start,"['brokers', 'wanted', 'imediate', 'start']",OneTwoTrade,['onetwotrade'],OneTwoTrade is expanding their Sales Team and are recruiting Junior/Trainee Brokers for their new City of London Trading Floor. Trainee Brokers/ Senior Brokers Open and close new business clients for the company. You will be required to contact clients worldwide. Candidates should be able to demonstrate a structured sales approach and show a genuine interest in finance and investments. Manage a portfolio of clients and support them with trading activities. NO COLD CALLING We require ambitious and genuinely dynamic sales people.,"['expanding', 'sales', 'team', 'recruiting', 'junior', 'trainee', 'brokers', 'city', 'london', 'trading', 'floor', 'trainee', 'brokers', 'senior', 'brokers', 'open', 'close', 'business', 'clients', 'company', 'required', 'contact', 'clients', 'worldwide', 'candidates', 'demonstrate', 'structured', 'sales', 'approach', 'show', 'genuine', 'interest', 'finance', 'investments', 'manage', 'portfolio', 'clients', 'support', 'trading', 'activities', 'cold', 'calling', 'require', 'ambitious', 'genuinely', 'dynamic', 'sales', 'people']",Accounting_Finance
71803987,RGN Nurses (Hospitals)  Penarth,"['rgn', 'nurses', 'hospitals', 'penarth']",Swiis Healthcare,"['swiis', 'healthcare']","RGN Nurses (Hospitals) Immediate fulltime and part timehours are available The SWIIS Benefits: • ****4  **** per hour (dependent on banding).• **** bonus after first **** hours• Up to **** referafriend bonus• Free CRB.• Free immunisation• Free uniform• Free training• Ongoing professional development• Excellent outofhours management support SWIIS urgently requires experienced RGNs for hospital roles throughout Penarth. These are temporary positions, with range of adhoc shifts, short and longerterm projects available. Requirements: • At least 1 year of paid postqualification nursing experience in a relevant setting• Understanding and knowledge of the issues faced by service users• Commitment to the care and wellbeing of service users• Dedication to continued professional and personal development If you have the skills to be successful in this role, please submit a comprehensive, uptodate CV detailing a full employment and study history. Incomplete CVs will result in delays in the processing of your registration. SWIIS is an Employment Business for interim, contract and temporary recruitment and acts as an Employment Agency in relation to permanent vacancies. SWIIS is an equal opportunities employer. Due to the volume of applicants, if you have not received a response from us within 14 days, please assume that you have not been successful in your application. Terms and conditions apply. Bonuses apply to qualified nurses only.","['rgn', 'nurses', 'hospitals', 'fulltime', 'part', 'swiis', 'benefits', 'hour', 'dependent', 'bonus', 'hours', 'bonus', 'free', 'crb', 'free', 'free', 'uniform', 'free', 'training', 'ongoing', 'professional', 'development', 'excellent', 'management', 'support', 'swiis', 'urgently', 'requires', 'experienced', 'rgns', 'hospital', 'roles', 'temporary', 'positions', 'range', 'adhoc', 'shifts', 'short', 'longerterm', 'projects', 'requirements', 'year', 'paid', 'nursing', 'experience', 'relevant', 'setting', 'understanding', 'knowledge', 'issues', 'service', 'users', 'commitment', 'care', 'wellbeing', 'service', 'users', 'dedication', 'continued', 'professional', 'personal', 'development', 'skills', 'successful', 'role', 'submit', 'comprehensive', 'uptodate', 'cv', 'detailing', 'full', 'employment', 'study', 'history', 'incomplete', 'cvs', 'result', 'delays', 'processing', 'registration', 'swiis', 'employment', 'business', 'interim', 'contract', 'temporary', 'recruitment', 'acts', 'employment', 'agency', 'relation', 'permanent', 'vacancies', 'swiis', 'equal', 'opportunities', 'employer', 'due', 'volume', 'applicants', 'received', 'response', 'days', 'assume', 'successful', 'application', 'terms', 'conditions', 'apply', 'bonuses', 'apply', 'qualified', 'nurses']",Healthcare_Nursing
70322392,Production Coordinator,"['production', 'coordinator']",NA,['na'],"Production Coordinator Sandbach Salary: pound;****K ndash; ****K Our client rsquo;s are experts in supplying tailored refrigeration control solutions to niche markets such as Supermarkets, Industrial refrigeration plants. Our client is an established company of over 30 years, which after contracting over the past three years is now set to expand. nbsp; nbsp; Due to restructuring our client is looking for a Production Coordinator to join their small friendly team based in Sandbach. nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; Production Coordinator ndash; Role requirements: The successful candidate will manage the administrative tasks relating to the production activities to meet company targets and order input to the company CRM system. nbsp; This will include: Regular telesales contact to build strong working relationships with clients and suppliers. Raising purchase orders for suppliers. Prioritising own work load. Answering client queries arriving via email, telephone or facsimile. Use of internal and external IT to research and retrieve information. Awareness of stock control procedures and assist in stock audits. Perform other clerical duties as needed, such as filing, photocopying, and collating. Ability to ask questions and ascertain a potential customer's needs. Experience in using and maintaining customer relationship management software and Excel spread sheets for general reporting. Preparation of customer orders. Arrange National and International courier shipments. Manage or escalate any delivery issues and/or returns. nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; Ensure that internal files and records are updated. Production Coordinator ndash; Candidate: The ideal candidate would demonstrate that they have: Ability to maintain confidentiality at all times Ability to ask questions and ascertain a potential customer's needs Experience in using and maintaining customer relationship management (CRM) and stock control software. Demonstrate technical knowledge of electronic components. A basic understanding  Knowledge of Outlook, Windows XP, 7, Office 2010 and Solvitt Excellent verbal communication and listening skills and ability to express thoughts clearly. nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; Demonstrate a positive attitude and enthusiasm. Goaloriented approach to achievement. Ability to get along with others and be a team player Are a car owner with a full clean driving license for occasional local travel requirements. To apply please send your detailed CV to: [blocked email] nbsp;","['production', 'coordinator', 'sandbach', 'salary', 'pound', 'ndash', 'client', 'rsquo', 'experts', 'supplying', 'tailored', 'refrigeration', 'control', 'solutions', 'niche', 'markets', 'supermarkets', 'industrial', 'refrigeration', 'plants', 'client', 'established', 'company', 'years', 'contracting', 'past', 'years', 'set', 'expand', 'nbsp', 'nbsp', 'due', 'restructuring', 'client', 'production', 'coordinator', 'join', 'small', 'friendly', 'team', 'based', 'sandbach', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'production', 'coordinator', 'ndash', 'role', 'requirements', 'successful', 'candidate', 'manage', 'administrative', 'tasks', 'relating', 'production', 'activities', 'meet', 'company', 'targets', 'order', 'input', 'company', 'crm', 'system', 'nbsp', 'include', 'regular', 'telesales', 'contact', 'build', 'strong', 'working', 'relationships', 'clients', 'suppliers', 'raising', 'purchase', 'orders', 'suppliers', 'prioritising', 'work', 'load', 'answering', 'client', 'queries', 'email', 'telephone', 'internal', 'external', 'research', 'information', 'awareness', 'stock', 'control', 'procedures', 'assist', 'stock', 'audits', 'perform', 'clerical', 'duties', 'needed', 'filing', 'ability', 'questions', 'ascertain', 'potential', ""customer's"", 'experience', 'maintaining', 'customer', 'relationship', 'management', 'software', 'excel', 'spread', 'sheets', 'general', 'reporting', 'preparation', 'customer', 'orders', 'arrange', 'national', 'international', 'courier', 'shipments', 'manage', 'escalate', 'delivery', 'issues', 'returns', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'ensure', 'internal', 'files', 'records', 'updated', 'production', 'coordinator', 'ndash', 'candidate', 'ideal', 'candidate', 'demonstrate', 'ability', 'maintain', 'confidentiality', 'times', 'ability', 'questions', 'ascertain', 'potential', ""customer's"", 'experience', 'maintaining', 'customer', 'relationship', 'management', 'crm', 'stock', 'control', 'software', 'demonstrate', 'technical', 'knowledge', 'electronic', 'components', 'basic', 'understanding', 'knowledge', 'outlook', 'windows', 'office', 'excellent', 'verbal', 'communication', 'listening', 'skills', 'ability', 'express', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'nbsp', 'demonstrate', 'positive', 'attitude', 'enthusiasm', 'approach', 'achievement', 'ability', 'team', 'player', 'car', 'owner', 'full', 'clean', 'driving', 'license', 'occasional', 'local', 'travel', 'requirements', 'apply', 'send', 'detailed', 'cv', 'blocked', 'email', 'nbsp']",Engineering
70086531,Scrub Nurse,"['scrub', 'nurse']",NA,['na'],"Job Reference  VAC**** Job Title  Scrub Nurse Location  Norwich, Norfolk Salary  Up to **** per annum Hours  Full time The Hospital My client is the one of the largest providers of private healthcare in the UK with up to **** hospitals. The Norwich hospital offers private healthcare to local residents. The hospital has suite of three Theatres (two equipped with laminar flow) covers a wide range of surgical specialities and includes a dedicated sterile services department. The Role Undertaking a wide range of surgical specialities, this position presents an opportunity to broaden skills whilst working in a modern environment with a friendly, enthusiastic team. Experience of working in a Theatre environment is essential, preferably including major Ortho, Ophthalmic, General and Gynae work. Main responsibilities: To provide exemplary planned care for patients within the perioperative area and assist in the management and organisation of care provision in the operating theatre. Qualifications & Training: Essential Registered Nurse/HPC Experience: Essential Working in teams and with minimum supervision Experience in a caring role Desirable Experience of applying clinical reasoning skills to a range of complex and varied patient case mixes If you would like to apply for this post please email your CV to echadwickeclypserecruitment.co.uk or call me on **** ****","['job', 'reference', 'vac', 'job', 'title', 'scrub', 'nurse', 'location', 'norwich', 'norfolk', 'salary', 'annum', 'hours', 'full', 'time', 'hospital', 'client', 'largest', 'providers', 'private', 'healthcare', 'uk', 'hospitals', 'norwich', 'hospital', 'offers', 'private', 'healthcare', 'local', 'residents', 'hospital', 'suite', 'theatres', 'equipped', 'flow', 'covers', 'wide', 'range', 'surgical', 'specialities', 'includes', 'dedicated', 'services', 'department', 'role', 'undertaking', 'wide', 'range', 'surgical', 'specialities', 'position', 'opportunity', 'broaden', 'skills', 'whilst', 'working', 'modern', 'environment', 'friendly', 'enthusiastic', 'team', 'experience', 'working', 'theatre', 'environment', 'essential', 'preferably', 'including', 'major', 'general', 'work', 'main', 'responsibilities', 'provide', 'planned', 'care', 'patients', 'perioperative', 'area', 'assist', 'management', 'organisation', 'care', 'provision', 'operating', 'theatre', 'qualifications', 'training', 'essential', 'registered', 'nurse', 'hpc', 'experience', 'essential', 'working', 'teams', 'minimum', 'supervision', 'experience', 'caring', 'role', 'desirable', 'experience', 'applying', 'clinical', 'reasoning', 'skills', 'range', 'complex', 'varied', 'patient', 'case', 'apply', 'post', 'email', 'cv', 'echadwickeclypserecruitment', 'uk', 'call']",Healthcare_Nursing
68684698,Sales & Purchase Ledger Clerk  Maternity Cover,"['sales', 'purchase', 'ledger', 'clerk', 'maternity', 'cover']",JK Personnel,"['jk', 'personnel']","Our client is looking to recruit an experienced Sales Purchase ledger clerk. You will be covering maternity over from February 2013  mid next year. The ideal candidate would be available immediately. DUTIES AND RESPONSIBILITIES (NOT LIMITED) Sales Ledger To input cheques/ bacs received onto Sage 200 accurately To reconcile remittances with actual receipts. To prepare the banking book To be responsible and ensure that all credit control has been done in a professional and timely manner. To send customer statements on a monthly basis Managing Aged Debtors Report Purchase Ledger To prepare the payment run, ensuring all invoices which are due will be processed and that there are no duplicates. To log all payments onto Sage 200 (cheques, bacs and chaps) To deal with account payable queries Managing Aged Creditors Report SKILLS REQUIREMENTS: 2 years experience Experience of systems and invoicing A good understanding of currencies Computer Literate in office, outlook, word and excel Sage 200 experience preferred, minimum Sage 50 Ability to work to tight deadlines without errors Good numeracy skills Good communication skills Well organised and efficient Good attention to detail This job was originally posted as www.totaljobs.com/JobSeeking/SalesPurchaseLedgerClerkMaternityCover_job****","['client', 'recruit', 'experienced', 'sales', 'purchase', 'ledger', 'clerk', 'covering', 'maternity', 'february', 'mid', 'year', 'ideal', 'candidate', 'immediately', 'duties', 'responsibilities', 'limited', 'sales', 'ledger', 'input', 'cheques', 'bacs', 'received', 'sage', 'accurately', 'reconcile', 'actual', 'receipts', 'prepare', 'banking', 'book', 'responsible', 'ensure', 'credit', 'control', 'professional', 'timely', 'manner', 'send', 'customer', 'statements', 'monthly', 'basis', 'managing', 'aged', 'debtors', 'report', 'purchase', 'ledger', 'prepare', 'payment', 'run', 'ensuring', 'invoices', 'due', 'processed', 'log', 'payments', 'sage', 'cheques', 'bacs', 'deal', 'account', 'payable', 'queries', 'managing', 'aged', 'creditors', 'report', 'skills', 'requirements', 'years', 'experience', 'experience', 'systems', 'invoicing', 'good', 'understanding', 'computer', 'literate', 'office', 'outlook', 'word', 'excel', 'sage', 'experience', 'preferred', 'minimum', 'sage', 'ability', 'work', 'tight', 'deadlines', 'errors', 'good', 'numeracy', 'skills', 'good', 'communication', 'skills', 'organised', 'efficient', 'good', 'attention', 'detail', 'job', 'originally', 'posted', 'www', 'totaljobs', 'jobseeking', 'job']",Accounting_Finance
70251801,Recruitment Sales Executive,"['recruitment', 'sales', 'executive']",Modern Business Solutions,"['modern', 'business', 'solutions']","Our client is a leading recruitment company based on the West Suffolk, North Essex and Cambridgeshire border. They are embarking on their expansion programme for 2013 and are actively looking to recruit a tenacious and passionate Sales Consultant. This is not a role for the faint hearted and you will need drive, determination and commitment to succeed in this extremely competitive sector. Your territory will span across three counties but will mainly focus on Cambridge, Newmarket and Haverhill. The role will be both office based and field based and will involve business to business telesales as well as face to face sales. You will be targeted on making appointments for the team and ensuring all activity to accurately recorded. The person we are looking to recruit, will have sales experience, with a proven track record and will have the hunger to succeed. You will need to be up for the challenge ahead and will have to maintain a positive attitude at all times. Recruitment experience would be an advantage although by no means essential for the 'right' person as training in that sector will be available. Your own transport is preferred and we can offer a competitive basic salary as well as an excellent bonus structure. Career progression within the company is also a possibility. Interviews will take place following the short listing process. This job was originally posted as www.totaljobs.com/JobSeeking/RecruitmentSalesExecutive_job****","['client', 'leading', 'recruitment', 'company', 'based', 'west', 'suffolk', 'north', 'essex', 'cambridgeshire', 'border', 'expansion', 'programme', 'actively', 'recruit', 'tenacious', 'passionate', 'sales', 'consultant', 'role', 'drive', 'determination', 'commitment', 'succeed', 'extremely', 'competitive', 'sector', 'territory', 'span', 'counties', 'focus', 'cambridge', 'newmarket', 'haverhill', 'role', 'office', 'based', 'field', 'based', 'involve', 'business', 'business', 'telesales', 'face', 'face', 'sales', 'targeted', 'making', 'appointments', 'team', 'ensuring', 'activity', 'accurately', 'recorded', 'person', 'recruit', 'sales', 'experience', 'proven', 'track', 'record', 'hunger', 'succeed', 'challenge', 'ahead', 'maintain', 'positive', 'attitude', 'times', 'recruitment', 'experience', 'advantage', 'means', 'essential', 'person', 'training', 'sector', 'transport', 'preferred', 'offer', 'competitive', 'basic', 'salary', 'excellent', 'bonus', 'structure', 'career', 'progression', 'company', 'possibility', 'interviews', 'place', 'short', 'listing', 'process', 'job', 'originally', 'posted', 'www', 'totaljobs', 'jobseeking', 'job']",Sales
72457901,Business Development Executive  Field Sales  Dartford,"['business', 'development', 'executive', 'field', 'sales', 'dartford']",David Miles Associates,"['david', 'miles', 'associates']","Position: Business Development Executive  Field Sales  Dartford Salary: ****kbasic, ****k OTE  car  bens Location:Dartford Territory: DA  SE  BR Hungry, ambitious new business sales professional? THE COMPANY: Firmly established in our industry, we are looking to take on people who have proven success in New Business with excellent customer service focus, who want to have an opportunity to build a long term career with us and be part of our continued success. You will be representing the premium service providers across an impressive range of environmental hygiene services and solutions. THE ROLE:  Generate new business opportunities across South East London area  Selling B2B across the SME sector  Selling a contractual sale in the environmental sector, emphasis on service and solution THE SUCCESSFUL CANDIDATE:  Proven Successful New Business Sales Track Record  At least 12 months  2 years of B2B Field Sales experience  Polished, articulate communicator  Ideally from the service led sector, experience of a contractual sale advantageous  You will be driven in all aspects of the role from planning and organizing your week to cold calling potential new customers.  You will need to be able to adapt to the clients needs and personalities, as well as build on business development.  A background within service related industries such as cleaning, logistics, environmental services, contract sales or any other would be advantageous.  Working within this role requires an all round sales professional who has both the drive and energy would be ideal for the role. Key Words: Recycling, Washroom Services, Pest control, contract hire, Business Development, Field Sales, Cold Calling, B2B, new business This job was originally posted as www.totaljobs.com/JobSeeking/BusinessDevelopmentExecutiveFieldSalesDartford_job****","['position', 'business', 'development', 'executive', 'field', 'sales', 'dartford', 'salary', 'kbasic', 'ote', 'car', 'bens', 'location', 'dartford', 'territory', 'se', 'hungry', 'ambitious', 'business', 'sales', 'professional', 'company', 'firmly', 'established', 'industry', 'people', 'proven', 'success', 'business', 'excellent', 'customer', 'service', 'focus', 'opportunity', 'build', 'long', 'term', 'career', 'part', 'continued', 'success', 'representing', 'premium', 'service', 'providers', 'impressive', 'range', 'environmental', 'hygiene', 'services', 'solutions', 'role', 'generate', 'business', 'opportunities', 'south', 'east', 'london', 'area', 'selling', 'sme', 'sector', 'selling', 'contractual', 'sale', 'environmental', 'sector', 'emphasis', 'service', 'solution', 'successful', 'candidate', 'proven', 'successful', 'business', 'sales', 'track', 'record', 'months', 'years', 'field', 'sales', 'experience', 'polished', 'articulate', 'communicator', 'ideally', 'service', 'led', 'sector', 'experience', 'contractual', 'sale', 'advantageous', 'driven', 'aspects', 'role', 'planning', 'organizing', 'week', 'cold', 'calling', 'potential', 'customers', 'adapt', 'clients', 'build', 'business', 'development', 'background', 'service', 'related', 'industries', 'cleaning', 'logistics', 'environmental', 'services', 'contract', 'sales', 'advantageous', 'working', 'role', 'requires', 'round', 'sales', 'professional', 'drive', 'energy', 'ideal', 'role', 'key', 'words', 'services', 'control', 'contract', 'hire', 'business', 'development', 'field', 'sales', 'cold', 'calling', 'business', 'job', 'originally', 'posted', 'www', 'totaljobs', 'jobseeking', 'job']",Sales
